,date,open,high,low,close,tick_volume,spread,real_volume
4374,2018-10-30,143.749,144.395,143.216,143.664,217864,0,0
4375,2018-10-31,143.687,145.138,143.619,144.231,181504,0,0
4376,2018-11-01,144.137,146.891,144.025,146.446,198070,0,0
4377,2018-11-02,146.57,147.259,146.288,146.776,209481,0,0
4378,2018-11-05,147.336,147.809,146.854,147.636,155456,0,0
4379,2018-11-06,147.552,148.708,147.303,148.678,157353,0,0
4380,2018-11-07,148.566,149.233,148.334,149.071,263153,0,0
4381,2018-11-08,148.977,149.49,148.606,148.953,195423,0,0
4382,2018-11-09,148.974,149.082,147.499,147.659,185047,0,0
4383,2018-11-12,146.97,147.582,146.073,146.278,213324,0,0
4384,2018-11-13,146.244,148.733,145.993,147.597,239266,0,0
4385,2018-11-14,147.615,148.433,146.325,147.601,268422,0,0
4386,2018-11-15,147.576,147.926,144.254,145.12,295222,0,0
4387,2018-11-16,145.122,145.447,144.601,144.734,215049,0,0
4388,2018-11-19,144.852,145.322,144.292,144.647,181022,0,0
4389,2018-11-20,144.595,144.918,144.022,144.181,147301,0,0
4390,2018-11-21,144.189,144.89,144.022,144.462,118401,0,0
4391,2018-11-22,144.452,145.95,144.261,145.421,112950,0,0
4392,2018-11-23,145.405,145.53,144.352,144.604,154781,0,0
4393,2018-11-26,144.769,145.741,144.646,145.503,183375,0,0
4394,2018-11-27,145.456,145.541,144.6,144.957,198925,0,0
4395,2018-11-28,144.967,145.837,144.862,145.779,174925,0,0
4396,2018-11-29,145.759,145.807,144.52,145.08,180093,0,0
4397,2018-11-30,145.074,145.292,144.624,144.773,172203,0,0
4398,2018-12-03,145.078,145.515,144.179,144.586,173277,0,0
4399,2018-12-04,144.584,144.763,142.841,143.411,220279,0,0
4400,2018-12-05,143.367,144.542,143.269,144.118,152375,0,0
4401,2018-12-06,144.117,144.171,143.251,144.05,274517,0,0
4402,2018-12-07,143.998,144.222,143.236,143.493,211553,0,0
4403,2018-12-10,143.051,143.704,141.178,142.327,250950,0,0
4404,2018-12-11,142.32,142.931,141.516,141.608,200693,0,0
4405,2018-12-12,141.527,143.448,141.502,143.001,246871,0,0
4406,2018-12-13,143.004,143.938,142.79,143.804,173001,0,0
4407,2018-12-14,143.688,143.858,142.38,142.719,178740,0,0
4408,2018-12-17,142.81,143.236,142.159,142.331,204748,0,0
4409,2018-12-18,142.323,142.659,141.935,142.233,187045,0,0
4410,2018-12-19,142.168,142.538,141.582,141.849,232962,0,0
